"year"	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
"single"	6608	6642	6709	6839	6954	7027	7221	7255	7213	7230	7302	7440	7534	7534	7591	7660	7729	7761	7599	7743	7660	7715	8007	8197	8247	8299
"0-65"	3456	3432	3519	3571	3688	3723	3952	3954	3876	3973	4016	4088	4156	4153	4202	4256	4256	4120	4143	4113	4016	3927	4129	4174	4122	4103
"65-inf"	3152	3209	3190	3269	3266	3304	3269	3301	3337	3258	3286	3352	3378	3381	3389	3405	3473	3641	3456	3629	3644	3788	3878	4023	4125	4196
"couple"	13885	14057	14029	14065	14216	14182	14176	14192	14273	14454	14497	14559	14611	14694	14753	14777	14873	14934	15142	15296	15489	15694	15733	15849	15907	15870
"couple none"	6513	6775	6815	6862	7055	7033	7112	7190	7154	7325	7363	7357	7454	7402	7448	7481	7476	7388	7627	7656	7769	7797	7913	7982	7875	7880
"couple 1-2 dchildren"	4621	4598	4576	4598	4567	4594	4557	4533	4570	4627	4663	4678	4655	4757	4784	4754	4831	4896	4876	4926	5007	5098	5084	5155	5273	5151
"couple 3+ dchildren"	1019	1050	1009	991	1021	976	950	944	914	917	910	905	922	880	904	898	870	906	916	945	948	983	961	972	935	986
"couple ndchildren"	1732	1634	1630	1615	1573	1579	1557	1525	1636	1585	1561	1619	1580	1655	1617	1644	1696	1744	1724	1769	1766	1816	1775	1740	1825	1852
"lp all"	2339	2275	2375	2382	2335	2403	2440	2493	2560	2567	2575	2574	2628	2747	2826	2799	2887	2839	2828	2850	2741	2668	2695	2695	2688	2841
"lp dchildren"	1540	1536	1640	1651	1621	1658	1723	1725	1771	1775	1781	1790	1802	1886	1916	1912	1938	1864	1850	1840	1763	1679	1702	1682	1648	1775
"lp ndchildren"	799	740	735	731	713	745	716	768	789	792	794	784	826	860	910	887	949	976	978	1009	978	989	993	1013	1039	1067
"all"	23738	23865	24036	24209	24396	24535	24792	24917	24993	25217	25379	25609	25875	26042	26240	26409	26620	26663	26734	27046	27109	27226	27576	27824	27921	28081
